Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
150,"DANEŠOVÁ, P.",Poděbrady NB (Přední Lhota).,,Excerpta,1969,1969,Poděbrady NB (Přední Lhota),,1969.,Bara
151,"DANEŠOVÁ, P.",Poděbrady NB.,,Excerpta,1970,1970,Poděbrady NB,,1970.,Bara
152,"DANEŠOVÁ, P.",Vojkov BN (Bezmíř).,,Excerpta,1964,1964,Vojkov BN (Bezmíř),,1964.,Bara
153,"DANÍČEK, V.",Záhoří SM (Dlouhý).,,Excerpta,1963,1963,Záhoří SM (Dlouhý),,1963.,Bara
154,"DANÍČEK, V.",Záhoří SM (Dlouhý).,,Excerpta,1965,1965,Záhoří SM (Dlouhý),,1965.,Bara
155,"DANÍČEK, V.",Záhoří SM (Dlouhý).,,Excerpta,1969,1969,Záhoří SM (Dlouhý),,1969.,Bara
156,"DANÍČEK, V.",Záhoří SM (Dlouhý).,,Excerpta,1970,1970,Záhoří SM (Dlouhý),,1970.,Bara
157,"DANIELOVÁ, I.","Diferenční slovní zásoba nářečí Nedašova (strava, odívání, dům, domácnost, dvůr).",,Studentská práce,1987,1987,Nedašov ZL,,"Brno, 1987.",Excely
158,"DEJMEK, B.",Starý Hradec vypravuje.,,Kniha,1998,1978,Hradec Králové HK,,"Hradec Králové: Garamond, 1998.",Texty a slovníky
159,"DEJMEK, J.",Kluky PI.,,Excerpta,1953,1953,Kluky PI,,1953.,Bara
160,"DEJMKOVÁ, M.",Hříškov LN.,,Excerpta,1956,1956,Hříškov LN,,1956.,Bara
161,"DEJMKOVÁ, M.",Hříškov LN.,,Excerpta,1959,1959,Hříškov LN,,1959.,Bara
162,"DEJMKOVÁ, M.",Jičín JC.,,Excerpta,1955,1955,Jičín JC,,1955.,Bara
163,"DEJMKOVÁ, M.",Jičín JC.,,Excerpta,1956,1956,Jičín JC,,1956.,Bara
164,"DEJMKOVÁ, M.",Jičín JC.,,Excerpta,1959,1959,Jičín JC,,1959.,Bara
165,"DEJMKOVÁ, M.",Jičín JC.,,Excerpta,1960,1960,Jičín JC,,1960.,Bara
166,"DEJMKOVÁ, M.",Jilemnice SM.,,Excerpta,1955,1955,Jilemnice SM,,1955.,Bara
167,"DEJMKOVÁ, M.",Jilemnice SM.,,Excerpta,1956,1956,Jilemnice SM,,1956.,Bara
168,"DEJMKOVÁ, M.",Jilemnice SM.,,Excerpta,1959,1959,Jilemnice SM,,1959.,Bara
169,"DEJMKOVÁ, M.",Jilemnice SM.,,Excerpta,1960,1960,Jilemnice SM,,1960.,Bara
170,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1955,1955,Svojek SM,,1955.,Bara
171,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1956,1956,Svojek SM,,1956.,Bara
172,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1959,1959,Svojek SM,,1959.,Bara
173,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1960,1960,Svojek SM,,1960.,Bara
174,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1961,1961,Svojek SM,,1961.,Bara
175,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1962,1962,Svojek SM,,1962.,Bara
176,"DEJMKOVÁ, M.",Svojek SM.,,Excerpta,1963,1963,Svojek SM,,1963.,Bara
177,"DLASK, J.",Paměti.,,Rukopis,1847,1847,Turnov SM (Dolánky u Turnova),,1847.,Bara
178,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1961,1961,Břehy PA,,1961.,Bara
179,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1963,1963,Břehy PA,,1963.,Bara
180,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1964,1964,Břehy PA,,1964.,Bara
181,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1966,1966,Břehy PA,,1966.,Bara
182,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1967,1967,Břehy PA,,1967.,Bara
183,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1968,1968,Břehy PA,,1968.,Bara
184,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1969,1969,Břehy PA,,1969.,Bara
185,"DLOUHÝ, F.",Břehy PA.,,Excerpta,1970,1970,Břehy PA,,1970.,Bara
186,"DOČKAL, F.",Čuhácká dědina. Památník podřečí čuháckého.,,Kniha,1967,1947,Velký Týnec OL,,"Velký Týnec: Jednotné kulturní a společenské středisko, 1967.",Texty a slovníky
187,"DOKOUPIL, O.",Hanácký slovník.,,Rukopis,1950,1950,,Prostějovsko,1950.,Bara
188,"DOLEJŠ, J.","Popis valašského nářečí (podle prací J. M. Slavičínského U Křúpalů, Vlk Krampotů).",,Studentská práce,1939,1939,Halenkov VS,,"Praha, 1939.",Bara
