číslo,editace (co uvidíme při zadávání),prezentace,definice
464,Písecko,Písecko,Písek
465,Plaňansko,Plaňansko,Plaňany
466,Plánicko,Plánicko,Plánice
467,Plasko,Plasko,Plasy
468,Plesensko,Plesensko,Plesná
469,Plumlovsko,Plumlovsko,Plumlov
470,Poběžovicko,Poběžovicko,Poběžovice
471,Počátecko,Počátecko,Počátky
472,Podbořansko,Podbořansko,Podbořany
473,Poděbradsko,Poděbradsko,Poděbrady
474,Podivínsko,Podivínsko,Podivín
475,Pohořelicko,Pohořelicko,Pohořelice
476,Polensko,Polensko,Polná
477,Polešovicko,Polešovicko,Polešovice
478,Policko,Policko,Police nad Metují
479,Poličsko,Poličsko,Polička
480,Postoloprtsko,Postoloprtsko,Postoloprty
481,Postřelmovsko,Postřelmovsko,Postřelmov
482,Potštátsko,Potštátsko,Potštát
483,Pozlovicko,Pozlovicko,Pozlovice
484,Prachaticko,Prachaticko,Prachatice
485,Proboštovsko,Proboštovsko,Proboštov
486,Prosečsko,Prosečsko,Proseč
487,Prosiměricko,Prosiměricko,Prosiměřice
488,Protivanovsko,Protivanovsko,Protivanov
489,Protivínsko,Protivínsko,Protivín
490,Průhonicko,Průhonicko,Průhonice
491,Přeloučsko,Přeloučsko,Přelouč
